Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
Line	0,0,0	1.5,0,0
Line	1.5,0,0	1.5,1.54,0
Line	1.5,1.54,0	3,1.54,0
Line	3,1.54,0	3,2.54,0
Line	3,2.54,0	0,2.54,0
Line	0,2.54,0	0,0,0
